Date,Plan,Detail,ALL PRACTICES END WITH STRETCHING AND MOBILITY
6/12/2025,Intro day,Set the tone, warmups, drills, etc.,
6/13/2025,Long Run,20 mins, drills,
6/14/2025,Off,,
6/15/2025,Off,,
6/16/2025,Run/drills,20 mins, drills,
6/17/2025,Workout/speed,Pyramid- 120, 100, 80, 100, 120,
6/18/2025,Off,,
6/19/2025,Workout/speed,10, 20, 30, 40, 50, 60, 70, 80, 90, 100 all out,
6/20/2025,Run/drills/form,20 minutes, drills, speed form,
6/21/2025,Off,,
6/22/2025,Off,,
6/23/2025,Run/drills,,
6/24/2025,Workout/speed,Pyramid- 120, 100, 80, 100, 120,
6/25/2025,Off,,
6/26/2025,Workout/speed,6x50, 2x150, 2x120, 2x 90- 2min rest 90% effort,
6/27/2025,Run/drills,20 min recovery run,
6/28/2025,Off,,
6/29/2025,Off,,
6/30/2025,Run/drills,20 min,
7/1/2025,Workout/speed,Pyramid- 2x150, 2x120, 2x100 3 minute rest, get after it,
7/2/2025,Off,,
7/3/2025,Workout/speed,8 flying 30's w/30 meter accel zone,
7/4/2025,Run/drills,20 minute recovery run,
7/5/2025,Off,,
7/6/2025,Off,,
7/7/2025,Run/drills,20 minute run,
7/8/2025,Workout/speed,5x10 20 30's, 2x20, 2x30 out of blocks,
7/9/2025,Off,,
7/10/2025,Workout/speed,100 yard fly's w/o shoes on turf x6 at 60-70% effort,
7/11/2025,Run/drills,20 minute run ,
7/12/2025,Off,,
7/13/2025,Off,,
7/14/2025,Run/drills,20 minute run,
7/15/2025,Workout/speed,Pyramid- 120,100,80,100,120,
7/16/2025,Off,,
7/17/2025,Workout/speed,Broken 300's- 2x150 90% effort, 90 sec rest btw reps, 6 minute rest btw sets- 2 sets,
7/18/2025,Run/drills,drills,
7/19/2025,Off,,
7/20/2025,Off,,
7/21/2025,Run/drills,20 minute run,
7/22/2025,Workout/speed,Alactic- 3x3 80's at 80-90% effort, 2 min rest btw reps 6 min rest btw sets,
7/23/2025,Off,,
7/24/2025,Workout/speed,Acceleration- 5x10's, 5x20's,
7/25/2025,Run/drills,20 min recovery run,
7/26/2025,Off,,
7/27/2025,Off,,
7/28/2025,Run/drills,Time Trial Day- Choose 1 or multiple events. Lets see what you got so far.,
7/29/2025,Workout/speed,Drills/Stretch,
7/30/2025,Off,,
7/31/2025,Workout/speed,100 yard fly's w/o shoes on turf x6 at 60-70% effort,
8/1/2025,Run/drills,Drills/ stretch,
8/2/2025,Off,,
8/3/2025,Off,,
8/4/2025,Run/drills,20 minute run,
8/5/2025,Workout/speed,3x500's each rep faster than the last, 5 minute rest btw reps,
8/6/2025,Off,,
8/7/2025,Workout/speed,Drills/stretch,
8/8/2025,Run/drills,Game Day/ Finale,
8/9/2025,Off,,
8/10/2025,Off,,